set,name,cost,gender,range,traits,icon
1,Aatrox,3,0,1,"['Demon', 'Blademaster']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Aatrox.png
1,Ahri,2,0,3,"['Wild', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Ahri.png
1,Akali,4,0,1,"['Ninja', 'Assassin']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Akali.png
1,Anivia,5,0,3,"['Glacial', 'Elementalist']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Anivia.png
1,Ashe,3,0,4,"['Glacial', 'Ranger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Ashe.png
1,Aurelion Sol,4,0,3,"['Dragon', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/AurelionSol.png
1,Blitzcrank,2,0,1,"['Robot', 'Brawler']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Blitzcrank.png
1,Brand,4,0,3,"['Demon', 'Elementalist']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Brand.png
1,Braum,2,0,1,"['Glacial', 'Guardian']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Braum.png
1,Camille,1,0,1,"['Hextech', 'Blademaster']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Camille.png
1,Chogath,4,0,1,"['Void', 'Brawler']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Chogath.png
1,Darius,1,0,1,"['Imperial', 'Knight']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Darius.png
1,Draven,4,0,3,"['Imperial', 'Blademaster']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Draven.png
1,Elise,1,0,2,"['Demon', 'Shapeshifter']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Elise.png
1,Evelynn,3,0,1,"['Demon', 'Assassin']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Evelynn.png
1,Fiora,1,0,1,"['Noble', 'Blademaster']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Fiora.png
1,Gangplank,3,0,1,"['Pirate', 'Blademaster', 'Gunslinger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Gangplank.png
1,Garen,1,0,1,"['Noble', 'Knight']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Garen.png
1,Gnar,4,0,2,"['Yordle', 'Wild', 'Shapeshifter']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Gnar.png
1,Graves,1,0,1,"['Pirate', 'Gunslinger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Graves.png
1,Jayce,2,0,1,"['Hextech', 'Shapeshifter']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Jayce.png
1,Jinx,4,0,3,"['Hextech', 'Gunslinger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Jinx.png
1,Kaisa,5,0,2,"['Void', 'Assassin', 'Ranger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Kaisa.png
1,Karthus,5,0,3,"['Phantom', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Karthus.png
1,Kassadin,1,0,1,"['Void', 'Sorcerer']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Kassadin.png
1,Katarina,3,0,1,"['Imperial', 'Assassin']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Katarina.png
1,Kayle,5,0,3,"['Noble', 'Knight']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Kayle.png
1,Kennen,3,0,2,"['Ninja', 'Yordle', 'Elementalist']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Kennen.png
1,Khazix,1,0,1,"['Void', 'Assassin']",https://ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Khazix.png
1,Kindred,4,0,3,"['Phantom', 'Ranger']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Kindred.png
1,Leona,4,0,1,"['Noble', 'Guardian']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Leona.png
1,Lissandra,2,0,2,"['Glacial', 'Elementalist']",//ddragon.leagueoflegends.com/cdn/11.15.1/img/champion/Lissandra.png
